12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;;;;;;;;;;;;
;Hindkjær;Lars;Miljøstyrelsen, direktør;19.07.1954;29.12.2017;;;;;;;
;Veje;Nikolaj ;Fødevarestyrelsen, direktør;18.05.1969;28.09.2020;;;;;;;
;Petersen;Jette;Landbrugsstyrelsen, direktør;28.12.1966;29.12.2017;;;;;;;
Skatteministeriet;Ilsøe;Peter;Naturstyrelsen, direktør;06.10.1962;29.12.2017;;;;;;;
;Møller;Nanna;Fiskeristyrelsen, direktør;18.04.1968;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Agergaard;Merete;Skattestyrelsen, direktør;19.12.1967;29.12.2017;;;;;;;
;Dorph;Anders;Spillemyndigheden, direktør;20.01.1969;02.11.2020;;;;;;;
;Gotfredsen;Niels;Udvikling og Forenklingsstyrelsen, direktør;24.03.1969;01.01.2021;;;;;;;
;Jensen;Winnie Helene;Skatteankestyrelsen, direktør;30.03.1958;07.01.2019;;;;;;;
;Larsen;Claus Henrik;Administrations- og Servicestyrelsen, direktør;31.10.1962;29.12.2017;;;;;;;
;Lemvigh;Lars Nordahl;Gældstyrelsen, direktør;04.11.1964;29.12.2017;;;;;;;
;Møller;Charlotte;Toldstyrelsen, direktør;24.12.1962;29.12.2017;;;;;;;
;Nielsen;Signe Friberg;Medarbejder- og Kompetencestyrelsen, direktør;28.02.1953;09.11.2020;;;;;;;
Sundheds- og Ældreministeriet;Rasmussen;Jørgen;Motorstyrelsen, direktør;27.04.1968;09.11.2020;;;;;;;
;Taankvist;Poul ;Vurderingsstyrelsen, direktør (tidl. Økonomistyrelsen);23.06.1969;05.05.2021;;;;;;;
;;;;;;;;;;;;
;Brostrøm;Søren;Sundhedsstyrelsen, direktør;04.06.1965;29.12.2017;;;;;;;
;Nielsen;Lars Bo;Lægemiddelstyrelsen, direktør;08.09.1964;16.08.2021;;;;;;;
;Petri;Anette Lykke;Styrelsen for Patientsikkerhed, direktør;03.02.1968;15.06.2020;;;;;;;
;Jakobsen;Lizzi Krarup;Styrelsen for Patientklager, direktør;25.10.1967;12.07.2018;;;;;;;
Transport- og Boligministeriet;Nielsen;Lisbeth;Sundhedsdatastyrelsen, direktør;18.09.1970;29.12.2017;;;;;;;
;Ullum;Henrik ;Statens Serum Institut, administrerende direktør;20.03.1966;01.12.2020;;;;;;;
;;;;;;;;;;;;
;Hansen;Carsten Falk;Trafik-, Bygge- og Boligstyrelsen, direktør;09.05.1964;29.12.2017;;;;;;;
;Iversen;Hakon;Banedanmark, administrerende direktør;27.04.1973;17.04.2020;;;;;;;
;Holmboe;Jens;Vejdirektoratet, vejdirektør;28.12.1964;29.12.2017;;;;;;;
Uddannelses- og Forskningsministeriet;Lassen;Rasmus Brandt;Bygningsstyrelsen, direktør;26.06.1971;10.07.2018;;;;;;;
;Søsted;Stefan;Færdselsstyrelsen, direktør;14.11.1977;15.06.2020;;;;;;;
Udenrigsministeriet;;;;;;;;;;;;
;Pedersen;Hans Müller;Styrelsen for Forskning og Uddannelse og Styrelsen for Institutioner og Uddannelsesstøtte, direktør;18.04.1958;29.12.2017;;;;;;;
Udlændinge- og Integrationsministeriet;;;;;;;;;;;;
;Ingen styrelser etc.;;;;;;;;;;;
;;;;;;;;;;;;
;Larsen;Niels Henrik;Udlændingestyrelsen, direktør;06.05.1968;07.01.2019;;;;;;;
Undervisningsministeriets koncern;Thygesen;Trine Rask ;Styrelsen for International Rekruttering og Integration, direktør;18.09.1970;06.04.2021;;;;;;;
;Nilas;Claes;Hjemrejsestyrelsen, direktør ;30.04.1957;17.04.2020;;;;;;;
;;;;;;;;;;;;
Direktør, vicedirektør og medlem af bestyrelsen eller person med tilsvarende hverv i en international organisation, jf, § 2, stk. 1, nr. 8, litra h;Albertsen;Julie Elm Vig ;Styrelsen for Undervisning og Kvalitet, direktør;08.08.1980;09.10.2020;;;;;;;
Udpeget af Energi-, Forsynings- og Klimaministeriet;Fredenslund;Thomas;Styrelsen for IT og Læring, direktør;15.12.1968;29.12.2017;;;;;;;
Udpeget af Erhvervsministeriet;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Sonne;Julie;Bestyrelsesmedlem i European Investment Bank (EIB) og Nordic Investment Bank (NIB);13.12.1978;29.12.2017;;;;;;;
Udpeget af Miljø- og Fødevareministeriet;Hauptmann;Andreas Rahlf ;Bestyrelsesmedlem i Nordisk Innovation;14.02.1979;20.10.2020;;;;;;;
;Nordseth;Andreas;"Formand for ""Consultive Shipping Group"" og bestyrelsesmedlem i EU's søsikkerhedsagentur (EMSA)";11.03.1960;29.12.2017;;;;;;;
Udpeget af Skatteministeriet;;;;;;;;;;;;
;Svenningsen;Søren Bukh;Bestyrelsesmedlem i Nordic Environment Finance Corporation (NEFCO);23.06.1960;29.12.2017;;;;;;;
Udpeget af Sundheds- og Ældreministeriet;;;;;;;;;;;;
;Andersen;Erling;Medlem af Executive Council i IOTA - Intra-European Organization of Tax Administrations;11.02.1958;29.12.2017;;;;;;;
;;;;;;;;;;;;
;Petersen;Lars;Bestyrelsesmedlem i Det Europæiske Overvågningscenter for Narkotika og Narkotikamisbrug (European Monitoring Centre for Drugs and Drug Addiction - EMCDDA);15.11.1967;29.12.2017;;;;;;;
;Senderovitz;Thomas;Bestyrelsesmedlem i Det Europæiske Lægemiddelagentur (EMA), Management Board;12.11.1965;29.12.2017;;;;;;;
;Melbye;Mads;Bestyrelsesformand for WHO's International Agency for Research on Cancer (IARC);23.03.1956;29.12.2017;;;;;;;
;Søborg;Bolette;Bestyrelsesmedlem i Det Europæiske Center for Forebyggelse af og Kontrol med Sygdomme (European Centre for Disease Prevention and Control - ECDC);29.06.1969;29.12.2017;;;;;;;
Udpeget af Uddannelses- og Forskningsministeriet;Brostrøm;Søren;Medlem af WHO’s regionale bestyrelse for Europa (Standing Committee of the Regional Committee, SCRC) siden september 2017.             ;04.06.1965;12.07.2018;;;;;;;
;Mølbak;Kåre;Commission’s advisory panel on COVID-19, member /Individual expert appointed in his/her personal capacity;24.09.1955;14.05.2020;;;;;;;
;;;;;;;;;;;;
;Mogensen;Johnny K.;Bestyrelsesmedlem i Nordforsk;08.11.1967;09.11.2020;;;;;;;
;Kühl;Jørgen;Bestyrelsesformand i European Centre for Minority Issues;20.10.1965;29.12.2017;;;;;;;
;Jørgensen;Stine;Bestyrelsesmedlem i European Centre for Minority Issues;19.03.1974;09.11.2020;;;;;;;
Udpeget af Udlændinge- og Integrationsministeriet;Schmidt;Garbi;Bestyrelsesmedlem i European Centre for Minority Issues;20.03.1969;29.12.2017;;;;;;;
;Leidekker;Marco;Bestyrelsesmedlem i European Centre for Minority Issues;24.08.1968;09.11.2020;;;;;;;
;;;;;;;;;;;;
;Andersen;Hanne Stig;Bestyrelsesmedlem for EU-Lisa;26.08.1969;27.02.2020;;;;;;;
;Ankerstjerne;Henrik;Bestyrelsesmedlem for det europæiske asylagentur (EASO);16.06.1961;29.12.2017;;;;;;;
;Laursen;Helga Lund;Bestyrelsesmedlem for Frontex;09.03.1980;30.10.2018;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
