12.10.2021;Liste over politisk eksponerede personer jf. hvidvasklovens § 18, stk. 7, jf. § 2, stk. 1, nr. 8, litra a-h;;;;;;;;;;;
;Navn;;Stillingsbetegnelse ;Fødselsdato;Tilføjet på PEP-listen (dato);Ny på PEP-listen (x);;;;;;
Statschef, regeringschef, minister og viceminister eller ass. minister, jf. § 2, stk. 1, nr. 8 litra a;;;;;;;;;;;;
;Støjberg;Inger;Uden for parti;16.03.1973;29.12.2017;;;;;;;
;Østerby;Orla;Uden for parti;29.02.1952;03.12.2020;;;;;;;
Medlemmer af Europaparlamentet;;;;;;;;;;;;
;Fuglsang ;Niels ;Socialdemokratiet;29.06.1985;19.10.2020;;;;;;;
;Schaldemose;Christel;Socialdemokratiet;04.08.1967;29.12.2017;;;;;;;
;Vind;Marianne ;Socialdemokratiet;03.12.1970;19.10.2020;;;;;;;
;Petersen;Morten Helveg;Radikale Venstre;14.09.1966;29.12.2017;;;;;;;
;Melchior;Karen;Radikale Venstre;15.10.1980;11.11.2019;;;;;;;
;Auken;Margrete;Socialistisk Folkeparti;06.01.1945;29.12.2017;;;;;;;
;Peter-Hansen;Kira Marie;Socialistisk Folkeparti;23.02.1998;02.11.2020;;;;;;;
;Kofod;Peter;Dansk Folkeparti;27.02.1990;03.10.2019;;;;;;;
;Løkkegaard;Morten;Venstre;20.12.1964;29.12.2017;;;;;;;
;Gade;Søren;Venstre;27.01.1963;08.08.2019;;;;;;;
;Christensen;Asger;Venstre;08.01.1958;08.08.2019;;;;;;;
;Søgaard-Lidell;Linea;Venstre;30.03.1987;02.11.2020;;;;;;;
;Weiss;Pernille;Det Konservative Folkeparti;12.03.1968;02.11.2020;;;;;;;
;Villumsen;Nikolaj Barslund;Enhedslisten;28.02.1983;02.11.2020;;;;;;;
Medlemmer af partiernes styrelsesorganer, jf. § 2, stk. 1, nr. 8, litra c;;;;;;;;;;;;
;Andersen;Inge Kjær;Socialdemokratiet;18.01.1977;29.12.2017;;;;;;;
;Ankler;Jan;Socialdemokratiet;15.06.1948;29.12.2017;;;;;;;
;Astman ;Ulla;Socialdemokratiet;05.04.1970;19.10.2020;;;;;;;
;Beck;Niels Ole;Socialdemokratiet;14.03.1957;29.12.2017;;;;;;;
;Brønfeld;Hans ;Socialdemokratiet;04.08.1948;29.12.2017;;;;;;;
;Bundsgaard;Jacob ;Socialdemokratiet;28.02.1976;29.12.2017;;;;;;;
;Christensen;Jan Juul;Socialdemokratiet;24.10.1969;29.12.2017;;;;;;;
;Frederiksen;Mette;Socialdemokratiet;19.11.1977;29.12.2017;;;;;;;
;Gravesen;Jette Buus;Socialdemokratiet;08.05.1950;29.12.2017;;;;;;;
;Hansen;Bjarne Kaspersen;Socialdemokratiet;05.10.1944;29.12.2017;;;;;;;
;Hansen;Per Gravgaard;Socialdemokratiet;27.07.1959;29.12.2017;;;;;;;
;Heunecke;Poul Erik Skov;Socialdemokratiet;12.04.1951;29.12.2017;;;;;;;
;Hjort ;Jan;Socialdemokratiet;28.03.1955;18.05.2021;;;;;;;
;Jensen;Mogens;Socialdemokratiet;31.10.1963;29.12.2017;;;;;;;
;Just Pedersen ;Erik ;Socialdemokratiet;11.01.1954;19.10.2020;;;;;;;
;Kristensen;Jan Salling;Socialdemokratiet;01.01.1968;29.12.2017;;;;;;;
;Krzyrosiak Hansen ;Christina ;Socialdemokratiet;24.11.1992;19.10.2020;;;;;;;
;Lange;Lise Lotte;Socialdemokratiet;29.07.1966;29.12.2017;;;;;;;
;Lind;Annette ;Socialdemokratiet;02.06.1969;19.10.2020;;;;;;;
;Marker;Ida;Socialdemokratiet;22.03.1958;29.12.2017;;;;;;;
;Mortensen ;Flemming Møller ;Socialdemokratiet;03.07.1963;19.10.2020;;;;;;;
;Nielsen;Frederik Vad;Socialdemokratiet;01.09.1994;29.12.2017;;;;;;;
;Nielsen ;Peter Skriver ;Socialdemokratiet;28.12.1961;18.05.2021;;;;;;;
;Nørhart;Steen Groth;Socialdemokratiet;06.10.1969;03.06.2021;;;;;;;
;Pedersen;Mogens Vestergård;Socialdemokratiet;01.05.1966;29.12.2017;;;;;;;
;Schaldemose ;Christel ;Socialdemokratiet;04.08.1967;19.10.2020;;;;;;;
;Stubberup;Jan;Socialdemokratiet;27.10.1966;29.12.2017;;;;;;;
;Stæhr;Anette;Socialdemokratiet;13.04.1955;29.12.2017;;;;;;;
;Stærke;Marie Borghild;Socialdemokratiet;31.08.1979;23.11.2020;;;;;;;
;Sørensen;Ivan Møller;Socialdemokratiet;23.07.1962;25.04.2018;;;;;;;
;Thomsen;Mads Søndergaard;Socialdemokratiet;20.01.1984;03.06.2021;;;;;;;
;Thorup;Morten;Socialdemokratiet;22.11.1971;29.12.2017;;;;;;;
